what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442289917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442291750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442292486
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1521442296056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442301914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442305522
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1521442308488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442313889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442316251
error,log,,,"Internal Error",1521442322598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442341733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442341839
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521442393299
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521442396739
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521442398235
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442440223
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442482439
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1521442486507
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1521442486705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1521442486872
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1521442487180
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1521442487508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442501842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442546164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442551814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442552536
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521442558456
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442558988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442559830
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442560654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442604717
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521442606464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442608268
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442609542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442618683
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442619452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442620268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442622996
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521442623115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521446235501
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521446236547
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521446357545
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521446368653
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521446368717
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521446373684
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521446374005
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521446374053
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1521446383172
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521446383622
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521446384817
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521446384998
