what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521447731268
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521447731304
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521447740954
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447741607
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447746795
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447748861
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447752877
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521447756723
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521447757334
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521447759009
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521447759954
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1521447762737
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1521447763458
opened,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1521447763688
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521447765315
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447769331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447772690
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521447772702
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447777264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447778056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447778118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447778952
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1521447778957
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1521447783134
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1521447783170
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521447785628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447785963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447787900
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521447789274
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1521447789274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447789632
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447801185
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447808186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447821671
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521447825311
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521447831712
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447835515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447837425
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521447838245
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521447838973
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521447839987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447840417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521447861726
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521447865399
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521447873755
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521447877528
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521447877559
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521447890331
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521447894286
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521447894310
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521447928330
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521447928330
closed,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521447928355
