what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521342905063
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521342908187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342908424
error,log,,,"Internal Error",1521342909190
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342909581
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521342910802
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342913073
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342913877
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342913917
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342914700
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1521342914720
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1521342918007
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1521342918049
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521342920190
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342921034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342924564
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1521342924569
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521342926967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342936167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342937079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521342940360
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1521342941827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521342941882
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521342943069
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1521342943796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521342945436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342946612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342951398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342954298
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342954451
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342956850
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342958904
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521342977650
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342978855
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521342987545
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521342991150
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521342995306
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521342996003
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521343006251
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1521343006439
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1521343006440
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1521343006507
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1521343006572
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1521343006593
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.303.v201012160047,"org.eclipse.wst.jsdt.web.support.jsp",1521343006711
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1521343006715
