what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520834323783
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1520834327245
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520834327441
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520834331525
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520834331653
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520834336393
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1520834352220
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520834356696
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1520834507951
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1520834622580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520834622985
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520834624229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520834627104
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520834633727
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520834634079
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520834634143
error,log,,,"Internal Error",1520834643455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520834663759
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520834669674
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520834696058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520834699057
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520834705918
error,log,,,"Internal Error",1520834731430
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520834738639
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520834741539
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520834744209
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520834782549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520834782644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1520834785217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520834785886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520834867268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520834923874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520834926861
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520834926993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520834938653
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520834991474
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520835015092
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520835035917
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1520835038644
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1520835038645
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520835039301
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1520835039653
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520835045748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520835048476
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520835048573
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520835085182
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520835085277
error,log,,,"Internal Error",1520835162115
error,log,,,"Internal Error",1520835162121
error,log,,,"Internal Error",1520835162278
error,log,,,"Internal Error",1520835162440
error,log,,,"Internal Error",1520835162613
error,log,,,"Internal Error",1520835162806
error,log,,,"Internal Error",1520835163948
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520835206233
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520835207306
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520835208151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520835232693
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520835291873
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1520835296019
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1520835303780
