what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520838401255
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520838402375
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520838408294
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1520838424948
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520838426573
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520838428123
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520838432443
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520838444092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520838446881
error,log,,,"Internal Error",1520838451648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520838471588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1520838472580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520838478431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520838480605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1520838482739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520838487123
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520838494202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520838498283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520838499025
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520838499409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520838505646
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1520838508488
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520838509501
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520838515637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520838555264
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520838560754
error,log,,,"Internal Error",1520838562581
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520838575107
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1520838578844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1520838580095
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1520838580522
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1520838580907
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1520838581606
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520838583531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1520838588980
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520838591502
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1520838592726
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520838595576
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1520838597518
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520838598853
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1520838600486
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520838601462
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1520838602592
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520838603334
