what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1521362368240
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521362368627
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521362377357
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1521362392164
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521362395334
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521362397261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521362403851
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521362404866
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1521362405844
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521362411742
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1521362411742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521362414132
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521362420464
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1521362424427
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521362425970
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521362428764
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521362428811
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521362437009
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521362437010
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521362437688
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521362437891
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521362437945
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521362445807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521362448601
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521362449091
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521362449342
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521362453713
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521362457131
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521362464042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521362465048
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521362465086
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521362465702
