what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520741335580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1520741339338
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520741342555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520741347486
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520741352227
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1520741355275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520741360056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520741364858
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520741365093
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520741365159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520741432665
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520741476293
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1520741524960
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520741526736
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520741533601
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520741533819
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1520741533878
error,log,,,"Internal Error",1520741561971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520741569067
error,log,,,"Internal Error",1520741569124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520741574570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520741582501
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1520741584249
