what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521435699780
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521435700492
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435701178
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435706993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521435711933
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521435714253
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521435714649
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435715033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435718851
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435724596
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435725538
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521435727576
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435727884
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435750657
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521435760995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435761628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435770904
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521435774227
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521435774917
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521435775717
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521435782975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435783631
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435789631
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521435794069
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521435801634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435804778
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521435805363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435805936
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1521435805965
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1521435805965
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521435807052
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521435809200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521435809902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435811793
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435817292
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521435845114
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435845598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435850440
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521435856138
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521435859402
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435871288
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435872540
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521435872889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521435881000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521435883072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521435886108
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521435886902
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521435888948
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521435889438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435889870
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435894460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521435905274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435905653
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435921000
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521435923373
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521435930189
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521435938349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435939533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435953614
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521435955847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435960430
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435963014
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521435970325
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521435970359
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521435978879
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521435978903
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521435994597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435995518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435996658
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435996868
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521435998939
