what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521099128970
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521099135444
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521099180224
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521099197436
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521099203297
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521099204166
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521099209153
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521099213417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099228227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099228851
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099232236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099272768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099274816
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099276548
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1521099281086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099286972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099292902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099307366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099307393
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099308116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099310271
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099313617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099374341
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099389127
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099411327
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521099423316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099428404
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521099430800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521099435570
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1521099436796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521099461237
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521099480059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521099480991
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1521099485779
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521099495668
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521099497980
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521099498478
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521099501824
