what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521278670934
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521278679338
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521278681718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521278684085
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521278685203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521278690029
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521278691158
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521278693078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521278712003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521278714230
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521278714837
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521278727814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521278741834
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521278743529
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1521278744227
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521278746367
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1521278751200
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521278751348
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1521278754199
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521278754558
started,bundle,org.eclipse.emf.codegen,2.6.0.v20100914-1218,"org.eclipse.emf.codegen",1521278771028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521278771485
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521278771971
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521278772130
error,log,,,"Internal Error",1521278782554
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521278790287
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521278799970
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1521278820524
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521278821018
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521278821189
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521278821903
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521278822476
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521278822619
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1521278830570
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521278831183
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1521278831621
